timevote,subgroup,id,moment,student,gender,age,thermalsatisfaction,iaqsatisfaction,acousticsatisfaction,visualsatisfaction,ieqsatisfaction,clo_simple,activity,thermal_warm,thermal_cold,thermal_draft,thermal_other,iaq_stuffy,iaq_odour,iaq_dry,iaq_humid,iaq_other,ac_classroom,ac_hallway,ac_device,ac_outside,ac_other,vis_blackboard,vis_underexposure,vis_overexposure,vis_glare,vis_other,locationback,locationfront,troom,rh,co2,voc,sound,lighting,ea,ttrend,trm,locationleft,locationright,locationmiddle,groupobs,windowmajority,windowsclosed,activitymajority,time_troom,time_rh,time_co2,time_ea,time_trend,time_sound,time_voc,time_lighting,casestudy,clo_detailed,ac_ventilation,af
21/04/2021 10:29,Sec_A,DB2_20,Start,True,male,15.0,2,3,4,4,2,Neutral,Other,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,True,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:29,Sec_A,DB2_8,Start,True,male,15.0,4,3,4,3,3,Neutral,Passive course,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,True,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:29,Sec_A,DB2_6 ,Start,True,female,11.0,2,3,3,4,3,Neutral,Other,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,True,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_1,Start,True,female,16.0,3,3,4,5,3,Warmly,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,False,True,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_21,Start,True,female,16.0,3,2,1,5,2,Neutral,Not applicable,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,True,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_11,Start,True,male,16.0,3,3,3,1,2,Neutral,Passive course,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,True,False,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_23,Start,True,female,11.0,2,3,3,3,3,Neutral,Other,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,True,False,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_16,Start,True,male,15.0,4,4,4,4,4,Neutral,Not applicable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,False,True,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_25,Start,True,female,11.0,2,2,3,4,3,Warmly,Not applicable,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,True,False,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_7,Start,True,female,16.0,2,2,3,4,2,Neutral,Not applicable,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,True,False,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
21/04/2021 10:30,Sec_A,DB2_10,Start,True,male,15.0,4,4,4,3,4,Lightly,Not applicable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23.683,31.015,743,675.152,60.004,214.567,38.09,-0.072,12.6,False,False,True,1.0,Multiple windows tilted,False,Not applicable,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,21/04/2021 10:27,SecondarySchool,,,
