gender,age,openness,neuroticism,conscientiousness,agreeableness,extraversion,personality
female,20,7,9,9,5,5,dependable
male,17,5,4,5,2,4,serious
female,25,5,5,7,2,4,serious
female,18,6,2,7,4,7,serious
female,19,2,4,7,1,3,responsible
female,19,6,4,7,5,5,serious
female,24,1,2,7,4,6,extraverted
male,27,4,5,7,4,4,serious
male,20,6,4,5,6,6,serious
male,21,5,4,4,6,4,serious
male,20,6,1,7,6,5,serious
male,19,4,4,4,4,3,responsible
female,20,4,5,5,5,2,responsible
female,20,4,4,4,4,5,serious
female,19,7,2,4,3,4,lively
female,17,6,6,5,7,6,extraverted
male,17,5,4,6,6,5,serious
male,18,5,3,5,6,7,serious
male,23,4,2,1,5,6,serious
female,23,5,4,4,5,4,extraverted
female,24,5,3,7,3,5,serious
female,25,5,7,3,7,6,dependable
female,20,4,5,6,5,5,serious
male,19,6,6,5,1,3,extraverted
female,19,6,1,5,5,6,extraverted
male,17,6,6,7,6,4,serious
male,17,4,6,3,5,4,extraverted
male,22,6,8,2,6,4,dependable
male,23,3,6,6,7,3,serious
female,21,4,2,3,5,4,responsible
male,19,4,4,6,4,3,serious
male,24,6,2,5,2,2,lively
male,25,5,5,1,7,6,extraverted
female,26,6,2,6,3,3,lively
male,23,7,4,7,5,5,serious
female,18,4,4,6,3,5,serious
male,19,2,4,5,5,6,serious
male,20,2,2,4,7,5,serious
female,17,3,7,3,3,7,extraverted
female,21,5,4,6,1,5,serious
male,18,5,4,6,2,1,responsible
female,19,2,5,4,6,3,responsible
female,22,3,6,6,1,6,serious
female,20,8,2,5,1,4,extraverted
female,25,4,6,6,3,6,dependable
male,24,5,6,3,3,8,serious
female,17,5,6,6,2,3,responsible
female,21,5,6,7,4,6,dependable
female,25,2,5,4,4,7,serious
male,23,5,7,1,3,6,extraverted
male,17,6,5,6,2,7,serious
male,19,5,5,5,4,3,serious
female,24,2,6,7,4,6,serious
male,24,4,5,5,6,2,lively
female,19,6,6,5,3,6,extraverted
male,28,4,7,6,2,5,serious
female,20,3,5,3,8,5,extraverted
female,21,4,4,5,6,4,serious
male,19,5,2,7,7,6,serious
male,24,6,4,5,2,6,serious
female,25,3,2,7,2,3,responsible
male,26,6,4,6,6,4,serious
female,21,7,5,5,1,5,dependable
male,19,5,5,4,2,7,serious
female,18,3,5,4,8,7,serious
female,20,4,5,5,2,4,responsible
male,19,1,4,6,7,5,serious
male,21,5,6,5,1,4,serious
male,21,3,4,6,4,7,serious
male,18,3,3,5,7,5,serious
male,19,5,1,1,5,5,serious
female,24,6,4,4,1,7,serious
male,23,3,6,5,5,6,serious
male,25,7,2,5,5,5,serious
female,23,3,3,3,5,4,responsible
female,19,4,6,5,4,4,extraverted
male,20,4,4,5,7,6,serious
female,21,5,4,2,5,8,serious
male,19,5,5,7,7,4,serious
female,18,5,7,7,4,5,extraverted
male,20,6,4,7,6,5,serious
male,23,7,5,4,6,6,serious
male,19,7,6,4,3,5,extraverted
female,26,5,6,5,7,3,extraverted
male,20,5,3,7,8,6,serious
male,18,6,2,7,6,4,lively
female,23,2,2,6,4,6,serious
female,21,4,3,4,5,6,serious
male,21,1,1,6,5,6,serious
female,17,6,3,5,6,4,serious
male,24,4,4,4,5,6,dependable
female,19,6,3,2,4,3,responsible
female,22,5,5,5,5,6,responsible
female,21,5,3,6,8,6,serious
female,20,6,2,5,6,7,serious
male,23,3,6,6,4,3,serious
male,19,5,4,4,5,5,serious
female,23,5,6,6,6,3,extraverted
female,18,5,5,8,6,5,serious
female,18,4,5,6,5,6,serious
female,24,6,5,5,6,3,extraverted
female,18,2,7,1,4,8,extraverted
female,23,6,6,1,2,2,extraverted
female,18,7,4,3,6,1,extraverted
male,19,5,5,4,6,4,dependable
male,19,4,7,4,6,8,serious
female,22,6,2,1,6,6,serious
female,19,5,6,2,5,5,extraverted
male,18,7,2,7,3,6,dependable
male,19,3,4,3,6,5,serious
male,20,6,1,1,7,6,serious
female,18,4,6,7,7,7,serious
male,22,6,1,5,6,4,lively
male,19,5,1,1,2,8,serious
male,25,5,5,6,6,5,extraverted
female,17,6,6,4,7,5,extraverted
female,19,4,1,5,7,5,serious
male,18,4,3,3,7,4,serious
male,17,5,1,5,7,6,serious
female,23,6,7,5,7,6,extraverted
male,20,6,2,5,8,1,lively
female,25,6,1,4,6,3,lively
male,20,4,1,2,7,5,responsible
female,21,7,4,5,7,7,serious
male,22,5,4,7,5,3,lively
male,19,7,2,1,6,5,serious
male,20,6,1,3,7,5,serious
male,19,5,5,3,7,6,responsible
female,19,4,1,6,6,4,responsible
female,19,5,5,5,4,6,serious
female,22,5,1,5,6,6,dependable
female,19,6,6,7,6,5,dependable
male,24,5,1,2,5,4,serious
male,19,6,6,6,4,4,serious
male,19,6,7,7,4,4,dependable
female,18,4,5,5,4,5,responsible
female,22,3,4,3,1,5,responsible
female,19,5,5,2,7,7,extraverted
male,18,7,2,5,5,5,serious
female,19,6,5,5,4,7,serious
female,22,5,3,6,6,5,serious
male,19,5,5,5,6,6,serious
female,19,6,1,7,3,7,serious
female,19,5,1,3,7,6,serious
female,25,5,3,2,7,7,dependable
female,19,6,4,3,5,4,extraverted
male,19,3,4,5,6,6,serious
male,18,6,3,6,7,5,serious
male,26,6,4,5,5,5,serious
female,22,4,4,1,7,6,serious
female,17,7,3,5,3,6,serious
male,20,6,1,6,4,4,lively
female,23,5,7,6,5,6,extraverted
female,19,5,6,5,4,4,extraverted
male,19,6,5,4,5,7,responsible
male,22,3,4,3,4,3,responsible
female,21,5,7,2,6,5,extraverted
male,18,3,5,7,3,6,serious
female,19,5,6,4,2,7,serious
female,19,3,5,3,3,2,responsible
female,20,5,6,5,6,1,extraverted
female,19,5,4,3,5,5,serious
male,23,4,3,2,6,6,dependable
female,20,3,4,7,6,6,serious
female,17,2,6,6,2,5,responsible
male,18,4,4,4,4,4,lively
female,21,6,6,5,6,5,extraverted
male,22,7,7,2,5,7,responsible
female,19,4,7,7,3,5,extraverted
female,25,3,3,5,4,5,serious
female,26,1,5,5,5,5,serious
male,27,1,5,2,7,6,serious
female,18,4,2,3,5,5,responsible
female,17,5,5,3,1,5,responsible
female,19,6,1,5,5,6,serious
male,19,6,3,3,6,5,serious
female,23,7,2,4,6,4,lively
female,22,7,3,4,4,5,serious
male,23,3,3,5,4,7,responsible
male,21,4,4,1,6,4,serious
male,17,7,1,4,5,4,lively
male,20,5,6,6,3,4,serious
female,20,6,5,4,4,5,extraverted
female,18,4,4,1,5,6,extraverted
female,24,4,4,4,6,3,extraverted
male,19,7,3,3,5,6,serious
male,18,4,3,6,6,3,serious
female,19,6,6,2,3,5,extraverted
female,23,6,6,6,3,3,extraverted
male,21,5,5,2,7,5,serious
female,21,6,4,6,6,5,serious
male,25,7,7,5,6,6,extraverted
male,18,3,6,7,4,3,lively
male,17,7,5,7,5,1,lively
male,20,3,4,6,6,5,serious
female,18,5,5,5,7,4,extraverted
male,24,5,6,7,4,5,serious
female,19,6,6,6,5,5,extraverted
male,18,3,5,4,4,2,responsible
female,18,5,4,6,7,4,dependable
male,21,6,4,7,5,5,serious
male,18,4,6,3,6,5,serious
male,17,5,4,5,8,1,lively
female,17,5,4,6,7,5,extraverted
female,21,5,5,7,6,4,serious
male,20,7,5,5,4,5,serious
male,18,6,3,6,6,6,serious
female,19,3,5,3,5,5,extraverted
female,23,6,6,6,4,6,responsible
male,18,8,3,6,7,6,serious
female,18,2,7,6,6,4,extraverted
female,20,6,6,1,5,5,responsible
male,24,6,7,3,1,5,extraverted
female,20,5,8,2,5,7,extraverted
male,18,7,7,8,4,2,lively
male,18,6,6,3,6,6,dependable
male,23,6,6,3,6,3,extraverted
female,18,7,7,7,5,6,dependable
male,21,7,6,6,6,5,serious
male,21,6,7,7,4,5,dependable
male,22,4,6,3,5,4,lively
male,18,5,7,5,4,5,extraverted
female,19,6,6,5,4,4,dependable
male,19,2,5,5,3,7,serious
male,23,5,4,6,4,5,serious
male,19,7,8,7,4,3,extraverted
male,19,1,6,7,8,7,serious
female,20,3,7,3,2,5,extraverted
female,18,5,6,7,5,4,responsible
male,21,6,7,7,6,5,serious
female,20,2,6,5,5,3,extraverted
male,17,3,7,6,3,7,serious
male,22,3,7,6,6,7,serious
female,19,6,6,3,5,7,serious
female,17,6,7,4,4,5,extraverted
male,20,3,7,7,5,6,serious
male,22,4,4,5,2,3,serious
female,19,6,8,1,3,6,extraverted
male,19,6,5,6,7,5,serious
female,21,4,5,7,7,5,serious
male,18,7,5,7,5,5,serious
male,26,2,5,3,6,6,serious
female,26,3,6,6,6,5,extraverted
male,24,5,4,5,7,8,serious
female,18,2,6,6,7,6,extraverted
female,20,5,6,2,2,3,extraverted
male,18,6,5,5,5,7,serious
male,19,1,5,4,7,6,serious
female,22,3,3,2,6,4,responsible
female,17,6,6,3,6,5,extraverted
female,21,2,3,7,8,5,serious
male,20,4,7,3,5,4,responsible
male,19,7,3,4,7,5,serious
male,17,6,6,2,5,6,extraverted
male,20,6,4,8,5,5,serious
female,18,1,4,2,5,5,lively
female,22,5,3,4,5,2,responsible
female,19,6,8,6,4,4,extraverted
male,18,5,1,6,6,3,lively
male,20,7,4,7,6,7,serious
female,19,6,2,3,5,4,responsible
female,12,5,5,5,5,5,responsible
female,21,7,1,7,8,5,lively
male,22,6,2,2,4,4,dependable
male,19,4,4,5,4,5,serious
male,20,5,5,3,4,3,serious
female,18,5,4,4,6,6,serious
male,19,4,3,1,7,5,serious
female,22,7,4,4,3,6,responsible
male,18,6,6,3,2,6,serious
female,18,5,8,5,5,4,extraverted
male,20,1,7,6,3,7,serious
female,22,5,5,4,5,3,lively
male,17,3,2,7,4,6,serious
female,18,6,6,8,2,1,responsible
female,19,6,2,7,1,4,responsible
female,21,5,6,3,5,4,serious
male,24,4,6,5,6,2,extraverted
female,21,1,6,7,4,6,serious
male,20,4,6,6,3,6,serious
male,19,4,2,6,2,3,responsible
male,19,7,7,4,4,5,extraverted
male,17,6,5,5,5,5,responsible
female,17,7,6,5,5,5,extraverted
male,22,7,5,7,2,3,lively
female,17,6,7,7,4,5,responsible
male,18,6,6,7,6,5,serious
female,19,6,5,5,6,4,extraverted
female,23,6,5,7,4,3,extraverted
male,20,7,7,2,7,6,extraverted
male,21,5,8,5,6,6,extraverted
female,20,5,6,4,6,7,extraverted
female,20,5,5,4,4,5,lively
male,19,4,6,6,4,5,serious
male,25,5,8,4,6,6,extraverted
female,25,7,4,3,8,5,extraverted
male,17,3,7,1,5,5,extraverted
female,18,5,5,6,6,4,extraverted
female,25,5,8,7,1,1,extraverted
female,22,6,5,5,7,5,extraverted
male,17,6,3,7,1,8,serious
male,18,5,6,6,4,4,serious
male,23,4,4,5,6,4,serious
male,24,4,7,7,3,6,serious
female,19,6,3,2,4,8,serious
female,19,4,5,6,5,5,serious
female,17,6,3,6,4,6,serious
male,20,1,2,5,8,4,serious
male,18,3,3,6,5,5,serious
male,22,4,4,7,5,6,serious
female,19,6,5,6,4,3,extraverted
male,18,2,5,8,3,7,dependable
male,18,7,5,6,2,7,serious
male,23,6,7,5,4,3,extraverted
female,18,5,7,3,5,6,extraverted
