userid,failedloginattempts,accessfrequency,loginconsistency,deviceconsistency,accesslocationconsistency,dwelltime,mousemovements,scrollbehavior,incidentreports,passwordresets,anomalousactivity,sessionduration,mfaenabled,failedtransactions,accesstosensitivedata
3ca2dfa1-2b31-4e39-b0bf-,1,2,10,0,0,217.58,274.25,149.62,5,3,1,1:16:01,1,7,1
3ca2dfa1-2b31-4e39-b0bf-,1,3,3,1,1,175.87,261.34,41.18,5,3,1,0:31:07,1,6,0
3ca2dfa1-2b31-4e39-b0bf-,0,2,5,0,1,139.01,150.5,126.66,3,3,1,2:01:06,1,7,0
3ca2dfa1-2b31-4e39-b0bf-,1,2,7,0,1,53.59,281.54,49.84,2,2,0,0:24:43,1,3,0
3ca2dfa1-2b31-4e39-b0bf-,1,2,2,0,0,231.25,310.81,111.47,5,3,0,0:59:47,1,5,1
3ca2dfa1-2b31-4e39-b0bf-,1,2,8,1,1,102.11,102.02,40.64,1,1,1,0:57:45,1,7,1
f424fd7f-a686-462b-bc37-,0,1,5,0,0,199.21,301.33,138.3,4,3,1,0:11:09,0,4,0
f424fd7f-a686-462b-bc37-,1,2,7,1,0,96.99,338.54,101.33,0,1,0,2:22:30,0,10,1
f424fd7f-a686-462b-bc37-,1,1,8,0,0,62.11,312.95,44.37,5,0,0,1:23:28,0,1,1
f424fd7f-a686-462b-bc37-,1,3,8,0,0,112.62,218.3,132.76,5,1,1,2:02:01,0,5,0
f424fd7f-a686-462b-bc37-,0,2,6,1,1,210.03,157.59,110.93,4,1,0,2:16:24,0,10,0
f424fd7f-a686-462b-bc37-,0,1,6,1,0,215.51,282.93,101.88,5,3,1,1:29:00,0,4,0
4925abaf-c20c-4fd3-8c1c-,0,1,4,1,1,236.1,119.39,89.87,5,3,1,0:39:26,0,5,0
4925abaf-c20c-4fd3-8c1c-,1,1,9,0,1,78.92,278.52,108.16,3,1,1,2:27:25,0,8,1
4925abaf-c20c-4fd3-8c1c-,1,2,9,0,0,222.99,187.19,51.07,2,1,0,0:19:40,0,7,0
4925abaf-c20c-4fd3-8c1c-,0,3,1,0,1,111.41,268.29,50.74,2,0,1,1:55:52,0,2,0
4925abaf-c20c-4fd3-8c1c-,0,1,4,1,1,113.82,324.85,119.6,4,1,0,0:30:17,0,4,0
4925abaf-c20c-4fd3-8c1c-,0,3,10,1,0,80.1,336.62,69.88,0,0,1,2:00:58,0,5,0
27624820-ff4f-40a5-a4a2-,1,2,9,0,1,149.78,176.56,113.54,1,1,0,0:43:10,0,7,0
27624820-ff4f-40a5-a4a2-,0,2,1,0,1,203.16,233.1,87.93,5,3,1,1:30:53,0,10,0
27624820-ff4f-40a5-a4a2-,1,2,3,0,0,124.26,146.92,134.58,2,3,0,0:21:32,0,4,0
27624820-ff4f-40a5-a4a2-,1,1,10,1,0,201.07,208.64,115.9,0,3,0,1:06:14,0,7,0
27624820-ff4f-40a5-a4a2-,1,3,7,1,0,248.26,333.63,59.73,3,0,1,2:03:27,0,10,1
27624820-ff4f-40a5-a4a2-,0,2,10,1,0,137.67,205.3,89.21,1,3,1,1:45:11,0,8,1
aad93af9-3f3c-4161-9973-,0,1,4,0,0,176.67,326.18,126.45,4,3,1,0:37:33,1,1,0
aad93af9-3f3c-4161-9973-,1,1,3,1,0,105.26,244.56,140.76,2,3,0,0:22:16,1,6,0
aad93af9-3f3c-4161-9973-,1,3,8,0,1,63.19,116.95,64.98,2,0,1,0:54:24,1,7,1
aad93af9-3f3c-4161-9973-,1,3,1,1,1,90.55,123.05,132.61,5,1,1,1:48:08,1,10,0
aad93af9-3f3c-4161-9973-,0,3,3,1,1,153.53,319.7,118.83,1,2,1,2:06:11,1,3,1
aad93af9-3f3c-4161-9973-,0,3,7,0,0,139.96,132.16,75.06,5,3,0,1:48:34,1,3,0
9a330546-b641-4d9b-bcc4-,1,2,2,0,0,80.14,130.78,123.25,2,0,0,1:47:12,1,1,1
9a330546-b641-4d9b-bcc4-,1,1,8,0,1,132.45,110.27,73.94,1,1,0,0:38:12,1,5,1
9a330546-b641-4d9b-bcc4-,0,1,9,0,0,206.93,163.64,94.49,2,1,0,2:15:54,1,3,1
9a330546-b641-4d9b-bcc4-,0,1,1,0,0,68.99,220.85,125.7,2,0,1,0:59:38,1,3,0
9a330546-b641-4d9b-bcc4-,1,1,8,1,1,139.3,220.87,88.27,4,2,1,0:24:15,1,7,1
9a330546-b641-4d9b-bcc4-,1,3,3,0,0,156.17,114.46,129.97,3,3,1,0:28:45,1,0,1
d0ed0af1-89c5-4aee-a4a2-,1,3,3,0,0,183.18,116.98,68.73,0,3,0,0:47:14,0,7,1
d0ed0af1-89c5-4aee-a4a2-,1,2,8,1,0,245.22,326.63,60.64,4,3,1,0:40:32,0,8,1
d0ed0af1-89c5-4aee-a4a2-,0,1,1,0,0,173.56,154.31,85.9,0,3,1,0:30:18,0,8,0
d0ed0af1-89c5-4aee-a4a2-,1,3,9,0,0,216.82,225.95,68.02,3,3,0,0:13:46,0,2,0
d0ed0af1-89c5-4aee-a4a2-,1,2,6,1,1,231.08,129.1,119.58,3,0,1,2:00:54,0,1,1
d0ed0af1-89c5-4aee-a4a2-,0,1,10,0,1,108.47,337.75,67.5,5,2,1,1:18:02,0,8,0
b7d58909-7cad-4857-a0c9-,0,2,2,0,1,170.05,254.76,93.88,4,2,1,1:42:45,0,2,0
b7d58909-7cad-4857-a0c9-,1,1,1,0,0,161.22,188.95,53.4,0,3,0,1:43:42,0,9,1
b7d58909-7cad-4857-a0c9-,1,1,1,1,1,88.22,272.77,82.34,4,1,0,0:27:29,0,4,1
b7d58909-7cad-4857-a0c9-,1,2,8,1,1,77.28,206.02,104.04,1,1,1,1:59:06,0,3,1
b7d58909-7cad-4857-a0c9-,1,1,3,1,0,162.28,330.12,74.8,3,1,1,2:24:11,0,4,0
b7d58909-7cad-4857-a0c9-,0,1,9,1,1,185.15,193.2,62.75,3,2,1,2:25:16,0,0,0
0fbd8b50-2a86-487d-ab1c-,1,3,7,0,0,170.81,210.93,135.2,4,0,0,0:41:29,1,2,1
0fbd8b50-2a86-487d-ab1c-,0,1,9,1,0,177.8,334.81,141.04,1,2,0,0:46:57,1,8,0
0fbd8b50-2a86-487d-ab1c-,1,1,6,0,0,213.62,218.51,67.77,5,2,1,0:44:39,1,6,0
0fbd8b50-2a86-487d-ab1c-,0,3,2,0,1,128.92,290.18,130.3,3,0,1,2:25:12,1,4,0
0fbd8b50-2a86-487d-ab1c-,1,3,9,1,0,173.34,211.93,144.12,0,3,0,0:57:17,1,3,1
0fbd8b50-2a86-487d-ab1c-,1,3,4,1,1,151.53,124.16,55.12,3,0,0,0:33:56,1,9,1
5b612e6b-bba1-4272-9221-,0,3,5,0,0,139.02,343.59,136.18,2,3,1,0:44:05,0,7,0
5b612e6b-bba1-4272-9221-,0,2,8,1,0,64.14,182.1,102.65,1,1,0,1:42:24,0,8,1
5b612e6b-bba1-4272-9221-,0,3,3,1,1,162.19,181.08,65.53,2,3,0,0:11:23,0,5,1
5b612e6b-bba1-4272-9221-,1,2,3,1,1,99.16,228.32,104.97,4,1,0,0:25:32,0,6,0
5b612e6b-bba1-4272-9221-,1,2,1,0,1,110.94,165.17,106.24,2,2,0,0:32:49,0,10,1
5b612e6b-bba1-4272-9221-,1,3,5,1,0,66.2,180.9,92.44,5,1,0,1:04:28,0,9,0
f89fa676-aab8-464c-bb6b-,1,2,7,1,1,111.34,269.62,146.73,3,2,1,0:49:34,1,3,1
f89fa676-aab8-464c-bb6b-,0,2,8,1,0,218.1,290.48,112.2,0,3,1,1:43:43,1,9,1
f89fa676-aab8-464c-bb6b-,0,3,1,0,0,73.06,338.21,72.21,5,3,0,0:21:43,1,1,1
f89fa676-aab8-464c-bb6b-,1,3,8,1,1,163.85,239.56,116.37,0,2,1,0:16:15,1,6,0
f89fa676-aab8-464c-bb6b-,0,2,9,1,1,164.57,313.04,109.37,4,2,0,1:22:43,1,5,1
f89fa676-aab8-464c-bb6b-,0,1,1,0,0,72.2,195.96,138.92,0,0,0,2:09:39,1,0,0
457cf6b1-1de4-45d1-819d-,1,2,10,0,0,100.61,213.3,94.79,4,1,0,1:49:00,1,5,1
457cf6b1-1de4-45d1-819d-,0,2,2,1,1,97.33,238.98,127.56,0,1,1,0:43:22,1,7,0
457cf6b1-1de4-45d1-819d-,1,2,5,1,0,62.35,154.8,98.26,3,0,1,2:23:13,1,0,0
457cf6b1-1de4-45d1-819d-,0,2,10,0,1,184.73,148.08,100.68,0,2,0,1:18:56,1,3,1
457cf6b1-1de4-45d1-819d-,1,3,7,1,0,236.79,150.64,93.63,2,1,0,1:27:23,1,2,1
457cf6b1-1de4-45d1-819d-,0,2,5,0,1,201.97,312.8,138.55,2,3,1,0:33:24,1,6,1
1f06a992-682c-4427-aca7-,1,3,1,1,1,203.7,268.61,46.37,1,1,0,0:31:39,0,9,0
1f06a992-682c-4427-aca7-,0,1,2,1,0,60.38,191.45,105.53,4,0,1,1:27:04,0,2,1
